type,filepath,class,x1,y1,x2,y2,x3,y3,x4,y4
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\less-than-equal\20211207_080918.jpg,closebracket,0.498148148,0.403703704,,,0.577777778,0.571296296,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\less-than-equal\20211207_081043.jpg,closebracket,0.339814815,0.455555556,,,0.407407407,0.599537037,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\less-than-equal\20211207_081043.jpg,closebracket,0.885185185,0.450925926,,,0.944444444,0.57037037,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\less-than-equal\20211207_081137.jpg,closebracket,0.505555556,0.396759259,,,0.559722222,0.562962963,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\less-than-equal\20211207_081148.jpg,closebracket,0.869907407,0.391203704,,,0.922222222,0.50787037,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\less-than-equal\20211207_081255.jpg,closebracket,0.357407407,0.374537037,,,0.411111111,0.518518519,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\less-than-equal\20211207_081255.jpg,closebracket,0.90462963,0.369907407,,,0.956944444,0.508796296,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\less-than-equal\20211207_081420.jpg,closebracket,0.56712963,0.439351852,,,0.614351852,0.552314815,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\less-than-equal\20211207_081706.jpg,closebracket,0.60787037,0.425925926,,,0.678240741,0.556018519,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than\20211206_113401.jpg,closebracket,0.37037037,0.461574074,,,0.443055556,0.627314815,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than\20211206_113401.jpg,closebracket,0.906018519,0.505092593,,,0.962962963,0.660185185,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than\20211206_113406.jpg,closebracket,0.381018519,0.384722222,,,0.436111111,0.59537037,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than\20211206_113446.jpg,closebracket,0.875,0.388425926,,,0.960648148,0.618518519,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than\20211206_113452.jpg,closebracket,0.372222222,0.441203704,,,0.430555556,0.58287037,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than\20211206_113452.jpg,closebracket,0.916666667,0.435648148,,,0.961574074,0.579166667,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than\20211206_113555.jpg,closebracket,0.571759259,0.438425926,,,0.631944444,0.626388889,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than\20211206_113640.jpg,closebracket,0.524537037,0.391203704,,,0.6,0.620833333,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than\20211206_113646.jpg,closebracket,0.519444444,0.425925926,,,0.592592593,0.647685185,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than\20211206_113744.jpg,closebracket,0.505092593,0.422222222,,,0.592592593,0.655555556,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than\20211206_113751.jpg,closebracket,0.505555556,0.418981481,,,0.573148148,0.592592593,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than\20211206_114057(0).jpg,closebracket,0.5125,0.377314815,,,0.5875,0.606944444,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than-equal\20211207_075637.jpg,closebracket,0.451851852,0.617592593,,,0.488425926,0.739351852,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than-equal\20211207_075642.jpg,closebracket,0.521296296,0.225462963,,,0.592592593,0.419907407,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than-equal\20211207_075730.jpg,closebracket,0.878240741,0.409259259,,,0.936574074,0.575462963,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than-equal\20211207_075902.jpg,closebracket,0.572685185,0.321759259,,,0.638425926,0.556018519,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operasi\more-than-equal\20211207_080444.jpg,closebracket,0.438425926,0.446296296,,,0.489351852,0.57037037,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operator\close-bracket\20211206_104239.jpg,closebracket,0.155555556,0.312037037,,,0.230555556,0.425925926,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operator\close-bracket\20211206_104239.jpg,closebracket,0.283796296,0.314814815,,,0.368518519,0.438425926,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operator\close-bracket\20211206_104239.jpg,closebracket,0.444907407,0.317592593,,,0.526851852,0.456481481,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operator\close-bracket\20211206_104239.jpg,closebracket,0.591203704,0.309259259,,,0.673611111,0.465277778,,
TRAIN,c:\Users\husin\Documents\Coding\Kuliah\Viskom\tugas-4\Datasets-jpg\Operator\close-bracket\20211206_104239.jpg,closebracket,0.769907407,0.312962963,,,0.852777778,0.449074074,,
